model_id,specialist_group,_groups,pipeline_tag,params_b,active_params_b,vram_q4_gb,vram_fp16_gb,fits_16gb_vram,fits_32gb_ram,downloads,likes,is_moe,is_gguf,library,tags
Qwen/Qwen3-ForcedAligner-0.6B,edge-small,edge-small,automatic-speech-recognition,0.6,,1.84,2.7,True,True,614853,153,False,False,,"safetensors,qwen3_asr,automatic-speech-recognition,arxiv:2601.21337,license:apache-2.0"
protectai/deberta-v3-base-prompt-injection-v2,security,security,text-classification,7,,5.42,15.5,True,True,601515,113,False,False,transformers,"transformers,onnx,safetensors,deberta-v2,text-classification"
Orion-zhen/Qwen2.5-Coder-7B-Instruct-AWQ,code,code,text-generation,7.0,,5.42,15.5,True,True,584089,1,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
lmstudio-community/Qwen3.5-9B-MLX-4bit,edge-small,edge-small,image-text-to-text,9.0,,6.54,19.5,True,True,580277,4,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,mlx"
HuggingFaceTB/SmolLM3-3B,edge-small,edge-small,text-generation,3.0,,3.18,7.5,True,True,570926,1011,False,False,transformers,"transformers,safetensors,smollm3,text-generation,conversational"
Qwen/Qwen2.5-Coder-7B,code,code,text-generation,7.0,,5.42,15.5,True,True,555364,163,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
ai-sage/Giga-Embeddings-instruct,embedding,embedding,feature-extraction,6.5,,5.14,14.5,True,True,552736,119,False,False,sentence-transformers,"sentence-transformers,safetensors,gigarembed,feature-extraction,MTEB"
lmstudio-community/Qwen3.5-9B-MLX-8bit,edge-small,edge-small,image-text-to-text,9.0,,6.54,19.5,True,True,548877,1,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,mlx"
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,code,code,text-generation,7.0,,5.42,15.5,True,True,548032,16,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen3-0.6B-FP8,edge-small,edge-small,text-generation,0.6,,1.84,2.7,True,True,537809,62,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
yuxinlu1/gemma-4-12B-coder-fable5-composer2.5-v1-GGUF,code,code,text-generation,12.0,,8.22,25.5,True,True,529118,2856,False,True,gguf,"gguf,gemma4,coding,code,reasoning"
boboliu/Qwen3-Embedding-4B-W4A16-G128,embedding,embedding,feature-extraction,4.0,,3.74,9.5,True,True,512833,5,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
Qwen/Qwen3-TTS-12Hz-0.6B-Base,edge-small,edge-small,text-to-speech,0.6,,1.84,2.7,True,True,508542,285,False,False,,"safetensors,qwen3_tts,audio,tts,voice-clone"
jinaai/jina-embeddings-v4,embedding,embedding,visual-document-retrieval,6.5,,5.14,14.5,True,True,502903,535,False,False,transformers,"transformers,safetensors,feature-extraction,vidore,colpali"
HuggingFaceTB/SmolLM3-3B-Base,edge-small,edge-small,text-generation,3.0,,3.18,7.5,True,True,488194,170,False,False,transformers,"transformers,onnx,safetensors,smollm3,text-generation"
cyankiwi/Qwen3-VL-8B-Instruct-AWQ-4bit,edge-small,edge-small,image-text-to-text,8.0,,5.98,17.5,True,True,428181,17,False,False,,"safetensors,qwen3_vl,image-text-to-text,conversational,arxiv:2505.09388"
jinaai/jina-embeddings-v2-base-code,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,394416,142,False,False,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,bert"
HuggingFaceTB/SmolLM2-360M,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,385307,124,False,False,transformers,"transformers,safetensors,llama,text-generation,en"
ggml-org/embeddinggemma-300M-GGUF,embedding,embedding,,1.55,,2.37,4.6,True,True,349178,42,False,True,,"gguf,base_model:google/embeddinggemma-300m,base_model:quantized:google/embeddinggemma-300m,endpoints_compatible,region:us"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,code,code,text-generation,7.0,,5.42,15.5,True,True,337197,26,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
bartowski/Qwen_Qwen3.5-2B-GGUF,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,328395,22,False,True,,"gguf,image-text-to-text,base_model:Qwen/Qwen3.5-2B,base_model:quantized:Qwen/Qwen3.5-2B,license:apache-2.0"
TencentBAC/Conan-embedding-v1,embedding,embedding,,1.55,,2.37,4.6,True,True,326194,166,False,False,sentence-transformers,"sentence-transformers,pytorch,safetensors,bert,mteb"
bartowski/Qwen_Qwen3.5-0.8B-GGUF,edge-small,edge-small,image-text-to-text,0.8,,1.95,3.1,True,True,317963,18,False,True,,"gguf,image-text-to-text,base_model:Qwen/Qwen3.5-0.8B,base_model:quantized:Qwen/Qwen3.5-0.8B,license:apache-2.0"
bartowski/Kwaipilot_KAT-Coder-V2.5-Dev-GGUF,code,code,text-generation,27.5,,16.9,56.5,False,True,313454,127,True,True,,"gguf,code,agent,agentic-coding,moe"
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-4bit,edge-small,edge-small,text-generation,8.0,,5.98,17.5,True,True,302629,16,False,False,mlx,"mlx,safetensors,qwen3,text-generation,conversational"
RamManavalan/Qwen3-VL-Embedding-8B-FP8,embedding,embedding,feature-extraction,8.0,,5.98,17.5,True,True,300723,4,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,fp8"
QuantTrio/Qwen3-Coder-30B-A3B-Instruct-AWQ,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,295031,10,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,AWQ"
HuggingFaceTB/SmolLM2-360M-Instruct,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,292780,213,False,False,transformers,"transformers,tensorboard,onnx,safetensors,llama"
OrdalieTech/Solon-embeddings-large-0.1,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,287501,53,False,False,transformers,"transformers,safetensors,xlm-roberta,feature-extraction,mteb"
lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-MLX-8bit,edge-small,edge-small,text-generation,8.0,,5.98,17.5,True,True,283949,20,False,False,mlx,"mlx,safetensors,qwen3,text-generation,conversational"
unsloth/Qwen3.5-0.8B-GGUF,edge-small,edge-small,image-text-to-text,0.8,,1.95,3.1,True,True,281282,207,False,True,transformers,"transformers,gguf,unsloth,image-text-to-text,base_model:Qwen/Qwen3.5-0.8B"
Qwen/Qwen3-TTS-12Hz-1.7B-VoiceDesign,edge-small,edge-small,text-to-speech,1.7,,2.45,4.9,True,True,273021,398,False,False,qwen-tts,"qwen-tts,safetensors,qwen3_tts,audio,tts"
MaziyarPanahi/Qwen3-0.6B-GGUF,edge-small,edge-small,text-generation,0.6,,1.84,2.7,True,True,272375,14,False,True,,"gguf,mistral,quantized,2-bit,3-bit"
michaelw9999/Qwopus3.6-27B-Coder-MTP-NVFP4-GGUF,code,code,,27.0,,16.62,55.5,False,True,270921,7,False,True,,"gguf,nvfp4,qwopus,qwopus3.6-27b,qwopus3.6-27b-coder"
MaziyarPanahi/Qwen3-1.7B-GGUF,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,267289,11,False,True,,"gguf,mistral,quantized,2-bit,3-bit"
HuggingFaceTB/SmolLM2-1.7B,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,262460,159,False,False,transformers,"transformers,safetensors,llama,text-generation,en"
maci0/Qwopus3.6-27B-Coder-NVFP4,code,code,image-text-to-text,27.0,,16.62,55.5,False,True,242928,2,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,nvfp4"
Qwen/Qwen2.5-Coder-7B-Instruct-GGUF,code,code,text-generation,7.0,,5.42,15.5,True,True,240278,401,False,True,transformers,"transformers,gguf,code,codeqwen,chat"
unsloth/Qwen3-Embedding-4B,embedding,embedding,feature-extraction,4.0,,3.74,9.5,True,True,235751,4,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
Qwen/Qwen3.5-0.8B-Base,edge-small,edge-small,image-text-to-text,0.8,,1.95,3.1,True,True,234055,101,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational"
empero-ai/Qwen3.8-2B-Distill-GGUF,edge-small,edge-small,text-generation,2.0,,2.62,5.5,True,True,223489,109,False,True,gguf,"gguf,llama.cpp,quantized,empero-ai,qwen3.5"
sbintuitions/sarashina-embedding-v1-1b,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,221546,38,False,False,sentence-transformers,"sentence-transformers,safetensors,llama,feature-extraction,transformers"
jinaai/jina-embeddings-v2-base-en,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,217820,736,False,False,sentence-transformers,"sentence-transformers,pytorch,coreml,onnx,safetensors"
handy-computer/Qwen3-ASR-1.7B-gguf,edge-small,edge-small,automatic-speech-recognition,1.7,,2.45,4.9,True,True,209205,1,False,True,transcribe.cpp,"transcribe.cpp,gguf,asr,speech-to-text,qwen3"
unsloth/Qwen3-0.6B,edge-small,edge-small,,0.6,,1.84,2.7,True,True,206500,23,False,False,,"safetensors,qwen3,unsloth,base_model:Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B"
HuggingFaceTB/SmolLM2-1.7B-Instruct,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,202113,752,False,False,transformers,"transformers,tensorboard,onnx,safetensors,llama"
mesolitica/llama2-embedding-1b-8k,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,198656,3,False,False,transformers,"transformers,safetensors,llama,feature-extraction,custom_code"
mlx-community/Qwen2.5-Coder-7B-Instruct-4bit,code,code,text-generation,7.0,,5.42,15.5,True,True,191337,17,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
unsloth/Qwen3.5-2B-GGUF,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,186929,144,False,True,transformers,"transformers,gguf,unsloth,image-text-to-text,base_model:Qwen/Qwen3.5-2B"
ggml-org/embeddinggemma-300m-qat-q8_0-GGUF,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,186395,21,False,True,sentence-transformers,"sentence-transformers,gguf,sentence-similarity,feature-extraction,base_model:google/embeddinggemma-300m-qat-q8_0-unquantized"
tomaarsen/Qwen3-Reranker-0.6B-seq-cls,edge-small,edge-small,text-ranking,0.6,,1.84,2.7,True,True,185530,39,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-classification,transformers"
Qwen/Qwen3-ASR-1.7B-hf,edge-small,edge-small,automatic-speech-recognition,1.7,,2.45,4.9,True,True,184326,74,False,False,transformers,"transformers,safetensors,qwen3_asr,automatic-speech-recognition,zh"
QuantFactory/SmolLM2-135M-GGUF,edge-small,edge-small,,7,,5.42,15.5,True,True,182416,4,False,True,transformers,"transformers,gguf,en,license:apache-2.0,endpoints_compatible"
jinaai/jina-embeddings-v5-text-small,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,178652,198,False,False,transformers,"transformers,safetensors,jina_embeddings_v5,feature-extraction,mteb"
incoai/Qwen3.8-27B-DFlash2,edge-small,edge-small,text-generation,27.0,,16.62,55.5,False,True,167141,199,False,False,transformers,"transformers,safetensors,qwen3,dflash2,speculative-decoding"
unsloth/Qwen3-VL-2B-Instruct-unsloth-bnb-4bit,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,165743,8,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,unsloth"
Qwen/Qwen3Guard-Gen-0.6B,edge-small,edge-small,text-generation,0.6,,1.84,2.7,True,True,165526,84,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
Qwen/Qwen3-ForcedAligner-0.6B-hf,edge-small,edge-small,token-classification,0.6,,1.84,2.7,True,True,164726,32,False,False,transformers,"transformers,safetensors,qwen3_asr,token-classification,zh"
MaziyarPanahi/Yi-Coder-1.5B-Chat-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,164718,20,False,True,,"gguf,mistral,quantized,2-bit,3-bit"
MaziyarPanahi/Yi-Coder-9B-Chat-GGUF,code,code,text-generation,9.0,,6.54,19.5,True,True,163496,9,False,True,,"gguf,mistral,quantized,2-bit,3-bit"
RadixArk/Qwen3.8-27B-DSpark,edge-small,edge-small,text-generation,27.0,,16.62,55.5,False,True,158957,67,False,False,transformers,"transformers,safetensors,qwen3,feature-extraction,speculative-decoding"
z-lab/Qwen3.6-27B-DFlash,edge-small,edge-small,text-generation,27.0,,16.62,55.5,False,True,158379,397,False,False,transformers,"transformers,safetensors,qwen3,feature-extraction,dflash"
z-lab/Qwen3.8-27B-DFlash2-GGUF,edge-small,edge-small,text-generation,27.0,,16.62,55.5,False,True,158219,95,False,True,llama.cpp,"llama.cpp,gguf,dflash2,speculative-decoding,draft-model"
Qwen/Qwen2.5-Coder-14B,code,code,text-generation,14.0,,9.34,29.5,True,True,157459,89,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
AITeamVN/Vietnamese_Embedding,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,156296,68,False,False,sentence-transformers,"sentence-transformers,onnx,safetensors,xlm-roberta,Embedding"
handy-computer/Qwen3-ASR-0.6B-gguf,edge-small,edge-small,automatic-speech-recognition,0.6,,1.84,2.7,True,True,154602,1,False,True,transcribe.cpp,"transcribe.cpp,gguf,asr,speech-to-text,qwen3"
dangvantuan/vietnamese-document-embedding,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,154313,29,False,False,sentence-transformers,"sentence-transformers,safetensors,Vietnamese,feature-extraction,sentence-similarity"
HuggingFaceTB/SmolLM-135M,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,151355,266,False,False,transformers,"transformers,onnx,safetensors,llama,text-generation"
Qwen/Qwen2.5-Coder-1.5B,code,code,text-generation,1.5,,2.34,4.5,True,True,149840,104,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
DevQuasar/Qwen.Qwen3-VL-Embedding-2B-GGUF,embedding,embedding|edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,143811,25,False,True,,"gguf,image-text-to-text,base_model:Qwen/Qwen3-VL-Embedding-2B,base_model:quantized:Qwen/Qwen3-VL-Embedding-2B,endpoints_compatible"
avsolatorio/GIST-Embedding-v0,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,143603,30,False,False,sentence-transformers,"sentence-transformers,pytorch,safetensors,bert,feature-extraction"
lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-MLX-4bit,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,141443,39,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,mlx"
jinaai/jina-embeddings-v5-text-nano,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,141196,98,False,False,transformers,"transformers,safetensors,jina_embeddings_v5,feature-extraction,mteb"
VesNFF/Qwen3-VL-Embedding-8B-GGUF,embedding,embedding,,8.0,,5.98,17.5,True,True,140499,0,False,True,,"gguf,base_model:Qwen/Qwen3-VL-Embedding-8B,base_model:quantized:Qwen/Qwen3-VL-Embedding-8B,license:apache-2.0,endpoints_compatible"
microsoft/Phi-3.5-MoE-instruct,moe-split,moe-split,text-generation,35.0,,21.1,71.5,False,True,131977,575,True,False,transformers,"transformers,safetensors,phimoe,text-generation,nlp"
unsloth/Qwen2.5-Coder-1.5B-Instruct,code,code,text-generation,1.5,,2.34,4.5,True,True,128899,6,False,False,transformers,"transformers,safetensors,qwen2,text-generation,unsloth"
lmstudio-community/Qwen2.5-Coder-14B-Instruct-MLX-4bit,code,code,text-generation,14.0,,9.34,29.5,True,True,126960,7,False,False,mlx,"mlx,safetensors,qwen2,code,codeqwen"
lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-MLX-8bit,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,125052,26,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,mlx"
jinaai/jina-embeddings-v5-text-nano-retrieval,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,123506,16,False,True,llama.cpp,"llama.cpp,onnx,safetensors,gguf,eurobert"
lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-MLX-5bit,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,123173,9,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,mlx"
lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-MLX-6bit,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,121453,7,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,mlx"
z-lab/Qwen3.8-27B-DFlash2,edge-small,edge-small,text-generation,27.0,,16.62,55.5,False,True,120090,249,False,False,transformers,"transformers,safetensors,qwen3,dflash2,speculative-decoding"
ibm-granite/granite-embedding-125m-english,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,119077,38,False,False,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,roberta"
bartowski/Qwen2.5-Coder-32B-Instruct-GGUF,code,code,text-generation,32.0,,19.42,65.5,False,True,117986,126,False,True,,"gguf,code,codeqwen,chat,qwen"
unsloth/Qwen3-VL-2B-Instruct-GGUF,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,117751,42,False,True,transformers,"transformers,gguf,unsloth,image-text-to-text,arxiv:2505.09388"
mlc-ai/SmolLM2-360M-Instruct-q4f16_1-MLC,edge-small,edge-small,,7,,5.42,15.5,True,True,113175,0,False,False,mlc-llm,"mlc-llm,web-llm,base_model:HuggingFaceTB/SmolLM2-360M-Instruct,base_model:quantized:HuggingFaceTB/SmolLM2-360M-Instruct,region:us"
unsloth/Qwen2.5-Coder-7B-Instruct,code,code,text-generation,7.0,,5.42,15.5,True,True,109499,9,False,False,transformers,"transformers,safetensors,qwen2,text-generation,unsloth"
Qwen/Qwen3-VL-2B-Instruct-FP8,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,108780,43,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational"
mradermacher/Qwen3-VL-Reranker-2B-i1-GGUF,edge-small,edge-small,,2.0,,2.62,5.5,True,True,107536,1,False,True,transformers,"transformers,gguf,sentence-transformers,multimodal rerank,text rerank"
xCloudinfo/xGemable-12B-coder-v1.5-GGUF,code,code,text-generation,12.0,,8.22,25.5,True,True,106157,1,False,True,gguf,"gguf,llama.cpp,lm-studio,coding,agentic"
unsloth/SmolLM2-135M-Instruct-GGUF,edge-small,edge-small,,7,,5.42,15.5,True,True,105250,24,False,True,transformers,"transformers,gguf,llama,unsloth,en"
Qwen/Qwen3-VL-2B-Instruct-GGUF,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,104357,56,False,True,transformers,"transformers,gguf,image-text-to-text,arxiv:2505.09388,arxiv:2502.13923"
jinaai/jina-embeddings-v5-omni-small-retrieval,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,103833,17,False,False,transformers,"transformers,safetensors,qwen3_vl_audio,feature-extraction,embedding"
Qwen/Qwen2.5-Coder-1.5B-Instruct-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,103391,101,False,True,transformers,"transformers,gguf,code,codeqwen,chat"
unsloth/Qwen3-1.7B,edge-small,edge-small,,1.7,,2.45,4.9,True,True,103278,12,False,False,,"safetensors,qwen3,unsloth,base_model:Qwen/Qwen3-1.7B,base_model:finetune:Qwen/Qwen3-1.7B"
cyankiwi/Qwen3-VL-2B-Instruct-AWQ-4bit,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,102900,1,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational"
lmstudio-community/Qwen3-VL-4B-Instruct-MLX-4bit,edge-small,edge-small,image-text-to-text,4.0,,3.74,9.5,True,True,102687,10,False,False,mlx,"mlx,safetensors,qwen3_vl,image-text-to-text,conversational"
